"Annotation1-1"	"HitPositionInTier"	"BeginTime"	"EndTime"	"Duration"	"TierName"	"TierType"	"TierParticipant"	"TierAnnotator"	"Annotation2-1"	"HitPositionInTier"	"BeginTime"	"EndTime"	"Duration"	"TierName"	"TierType"	"TierParticipant"	"TierAnnotator"	"TranscriptionName"

tip	246	73609	73952	343	mb@SP1	mb	SP1		Quotative	4	73611	73955	344	rp@SP1	rp	SP1	08	"110704_ngg_DetskijSad_rp.eaf"
tip	294	84884	85281	397	mb@SP1	mb	SP1		Quotative	6	84884	85281	397	rp@SP1	rp	SP1	08	"110704_ngg_DetskijSad_rp.eaf"
tip	148	62852	63590	738	mb@SP1	mb	SP1		Quotative	4	62856	63590	734	rp@SP1	rp	SP1	08	"110716_bbm_Aslaj_rp_groups.eaf"
tip	240	102296	102997	701	mb@SP1	mb	SP1		Quotative	7	102298	102997	699	rp@SP1	rp	SP1	08	"110716_bbm_Aslaj_rp_groups.eaf"
tip	158	62663	63285	622	mb@SP1	mb	SP1		Quotative	3	62667	63285	618	rp@SP1	rp	SP1	08	"110717_rmm_Ekzamen_rp.eaf"
tip	25	8846	9310	464	mb@SP1	mb	SP1		Quotative	3	8693	9119	426	rp@SP1	rp	SP1	08	"110720_aga_Uchjoba_rp.eaf"
tip	32	10702	11166	464	mb@SP1	mb	SP1		Quotative	5	10706	11170	464	rp@SP1	rp	SP1	08	"110720_aga_Uchjoba_rp.eaf"
tip	145	57397	57838	441	mb@SP1	mb	SP1		Quotative	7	57402	57843	441	rp@SP1	rp	SP1	08	"110720_aga_Uchjoba_rp.eaf"
tərəš	146	57838	57987	149	mb@SP1	mb	SP1		Quotative	7	57402	57843	441	rp@SP1	rp	SP1	08	"110720_aga_Uchjoba_rp.eaf"
tej	249	100056	100530	474	mb@SP1	mb	SP1		Quotative	4	100058	100529	471	rp@SP1	rp	SP1	08	"110720_zdn_LenivyeSynovja_rp.eaf"
tip	183	59018	59605	587	mb@SP1	mb	SP1		Quotative	3	59018	59605	587	rp@SP1	rp	SP1	08	"120711_gaj_BashkirskijJazyk_rp.eaf"
tip	370	119168	119610	442	mb@SP1	mb	SP1		Quotative	5	119170	119610	440	rp@SP1	rp	SP1	08	"120711_gaj_BashkirskijJazyk_rp.eaf"
inde	616	199382	199848	466	mb@SP1	mb	SP1		Quotative	7	199846	200314	468	rp@SP1	rp	SP1	08	"120711_gaj_BashkirskijJazyk_rp.eaf"
tip	617	199848	200314	466	mb@SP1	mb	SP1		Quotative	7	199846	200314	468	rp@SP1	rp	SP1	08	"120711_gaj_BashkirskijJazyk_rp.eaf"
ti	178	63364	63564	200	mb@SP1	mb	SP1		Quotative	4	63365	63764	399	rp@SP1	rp	SP1	08	"130700_gaj_DevushkaNaLune.eaf"
ti	261	93935	94188	253	mb@SP1	mb	SP1		Quotative	7	93937	94441	504	rp@SP1	rp	SP1	08	"130700_gaj_DevushkaNaLune.eaf"
ti	313	109098	109333	235	mb@SP1	mb	SP1		Quotative	10	109099	109569	470	rp@SP1	rp	SP1	08	"130700_gaj_DevushkaNaLune.eaf"
tej	487	188828	189340	512	mb@SP1	mb	SP1		Quotative	6	188828	189340	512	rp@SP1	rp	SP1	08	"130706_rmm_Ramadan_rp.eaf"
tip	530	208330	208866	536	mb@SP1	mb	SP1		Quotative	8	208331	208873	542	rp@SP1	rp	SP1	08	"130706_rmm_Ramadan_rp.eaf"
tip	38	12951	13489	538	mb@SP1	mb	SP1		Quotative	4	12943	13477	534	rp@SP1	rp	SP1	08	"140706_iim_Obman_rp.eaf"
tip	65	19703	20016	313	mb@SP1	mb	SP1		Quotative	8	19687	20003	316	rp@SP1	rp	SP1	08	"140706_iim_Obman_rp.eaf"
tip	84	25740	26290	550	mb@SP1	mb	SP1		Quotative	11	25749	26290	541	rp@SP1	rp	SP1	08	"140706_iim_Obman_rp.eaf"
tip	124	34837	35164	327	mb@SP1	mb	SP1		Quotative	4	34837	35165	328	rp@SP1	rp	SP1	08	"140706_iim_ZheltyeBotinki_rp.eaf"
ti	171	72286	73190	904	mb@SP1	mb	SP1		Quotative	3	72286	73190	904	rp@SP1	rp	SP1	08	"140707_izg_Batyr_rp.eaf"
tip	288	125484	126058	574	mb@SP1	mb	SP1		Quotative	8	125488	126063	575	rp@SP1	rp	SP1	08	"140707_izg_Batyr_rp.eaf"
tej	148	39225	39711	486	mb@SP1	mb	SP1		Quotative	4	39228	39711	483	rp@SP1	rp	SP1	08	"140707_lba_Kolgotki_rp.eaf"
tej	155	42420	42916	496	mb@SP1	mb	SP1		Quotative	7	42420	42916	496	rp@SP1	rp	SP1	08	"140707_lba_Kolgotki_rp.eaf"
tej	171	45731	46131	400	mb@SP1	mb	SP1		Quotative	9	45731	46131	400	rp@SP1	rp	SP1	08	"140707_lba_Kolgotki_rp.eaf"
tej	177	47731	48131	400	mb@SP1	mb	SP1		Quotative	11	47731	48131	400	rp@SP1	rp	SP1	08	"140707_lba_Kolgotki_rp.eaf"
tej	228	57841	58280	439	mb@SP1	mb	SP1		Quotative	4	57846	58280	434	rp@SP1	rp	SP1	08	"140707_lba_Obshchezhitie_rp.eaf"
tip	266	66035	66380	345	mb@SP1	mb	SP1		Quotative	9	66038	66383	345	rp@SP1	rp	SP1	08	"140707_lba_Obshchezhitie_rp.eaf"
tor	267	66380	66552	172	mb@SP1	mb	SP1		Quotative	9	66038	66383	345	rp@SP1	rp	SP1	08	"140707_lba_Obshchezhitie_rp.eaf"
tip	329	83601	84270	669	mb@SP1	mb	SP1		Quotative	12	83601	84270	669	rp@SP1	rp	SP1	08	"140707_lba_Obshchezhitie_rp.eaf"
tip	8	2844	3296	452	mb@SP1	mb	SP1		Quotative	3	2845	3297	452	rp@SP1	rp	SP1	08	"160819_mfsB_MashinaNochju_1_rp.eaf"
tip	332	104382	104700	318	mb@SP1	mb	SP1		Quotative	13	104385	104696	311	rp@SP1	rp	SP1	08	"160819_mfsB_MashinaNochju_1_rp.eaf"
